TITLE,USER RATING,GENRES,CAST
The Hunger Games: Mockingjay - Part 1,68.0,"['Science Fiction', 'Adventure', 'Thriller']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Julianne Moore', 'Philip Seymour Hoffman', 'Jeffrey Wright', 'Stanley Tucci', 'Donald Sutherland', 'Willow Shields', 'Sam Claflin', 'Jena Malone', 'Mahershala Ali', 'Natalie Dormer', 'Wes Chatham', 'Elden Henson', 'Patina Miller', 'Evan Ross', 'Paula Malcomson', 'Sarita Choudhury', 'Stef Dawson', 'Robert Knepper', 'Caitlin Fowler', 'Jada Taylor', 'Nicholas Pryor', 'Donna Biscoe', 'Michael Garza', 'Erika Bierman', 'Jenique Bennett', 'Rus Blackwell', 'Stevie Ray Dallimore', 'Breann Couch', 'Jordan Woods-Robinson', 'Katie Sawhill', 'Jackson Mizell', 'Charles Kronmuller', 'Jennifer Cocker', 'Marshall Choka', 'Tyler Lee Allen', 'Jasmine Ahnie', 'Brayden Patterson', 'Emma Elle Roberts', 'Molly Evensen', 'William Frasca', 'Joe Crosson', 'Gregory Fears', 'Charles White Jr.', 'Angel Giuffria', 'Ryan DeLaney']"
How the Grinch Stole Christmas,67.5,"['Family', 'Comedy', 'Fantasy']","['Jim Carrey', 'Taylor Momsen', 'Jeffrey Tambor', 'Christine Baranski', 'Bill Irwin', 'Molly Shannon', 'Clint Howard', 'Josh Ryan Evans', 'Mindy Sterling', 'Bryce Dallas Howard', 'Lacey Kohl', 'Rachel Winfree', 'Rance Howard', 'Jeremy Howard', 'T.J. Thyne', 'Nadja Pionilla', 'Jim Meskimen', 'Michael Dahlen', 'David Costabile', 'Mary Stein', 'James Ritz', 'Deep Roy', 'Jessica Sara', 'Mason Lucero', 'Ben Bookbinder', 'Michaela Gallo', 'Landry Allbright', 'Reid Kirchenbauer', 'Rebecca Chace', 'Suzanne Krull', 'Steve Kehela', 'Lillias White', 'Rain Pryor', 'John Alexander', 'Kevin Isola', 'Gavin Grazer', 'Walter Franks', 'Verne Troyer', 'Clayton Martinez', ""Q'orianka Kilcher"", 'Caroline Williams', 'John Short', 'Grainger Esch', 'Eva Burkley', 'Rick Baker', 'Bill Sturgeon', 'Mark Setrakian', 'Jurgen Heimann', 'Tim Blaney', 'Charles Croughwell', 'Frank Welker', 'Anthony Hopkins']"
My Fault,80.9,"['Drama', 'Romance']","['Nicole Wallace', 'Gabriel Guevara', 'Marta Hazas', 'Iván Sánchez', 'Eva Ruiz', 'Víctor Varona', 'Fran Berenguer', 'Adriana Ubani', 'Iván Massagué', 'Mariano Venancio', 'Jaime Ordóñez', 'Jaime Gutiérrez', 'Anastasia Russo', 'Noah Casas', 'Daniel Martínez', 'Pablo Riguero', 'Eve Ryan', 'Lucas Nabor', 'Antonio Hernandez Fimia', 'Paloma Catalán', 'Rocío Peláez', 'Jon Rod', 'Mariano Andres', 'Jonatan Ruiz', 'Mónica Caballero', 'Alvaro Navarro']"
John Wick: Chapter 4,77.9,"['Action', 'Thriller', 'Crime']","['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård', 'Ian McShane', 'Laurence Fishburne', 'Lance Reddick', 'Clancy Brown', 'Hiroyuki Sanada', 'Rina Sawayama', 'Scott Adkins', 'Aimée Kwan', 'Marko Zaror', 'Natalia Tena', 'Shamier Anderson', 'George Georgiou', 'Yoshinori Tashiro', 'Hiroki Sumi', 'Daiki Suzuki', 'Julia Asuka Riedl', 'Milena Rendón', 'Ivy Quainoo', 'Irina Trifanov', 'Iryna Fedorova', 'Andrej Kaminsky', 'Sven Marquardt', 'Raicho Vasilev', 'Marie Pierra Kakoma', 'Gina Aponte', 'Christoph Hofmann']"
The Exorcist: Believer,61.95,['Horror'],"['Leslie Odom Jr.', 'Lidya Jewett', 'Olivia Marcum', 'Ann Dowd', 'Jennifer Nettles', 'Norbert Leo Butz', 'Okwui Okpokwasili', 'Raphael Sbarge', 'E.J. Bonilla', 'Ellen Burstyn', 'Linda Blair', 'Danny McCarthy', 'Tracey Graves', 'Celeste Oliva', 'Antoni Corone', 'Norah Murphy', 'Chloe Traicos', 'Chandu Kanuri', 'Richard Carr III', 'Malena Cunningham Anderson', 'Emily Rachel Gordon', 'Linda Boston', 'Nick Benas', 'Justin Paul Warren', 'Seth Loven', 'Dylan Probert', 'Amanda Beth', 'Lariah Alexandria', 'Cecil Chatman', 'Rory Gross', 'Nigel Barto', 'Edward James Warren', 'Forrest Briggs', 'Eliseo Antonio Paredes', 'Lize Johnston']"
The Mercenary,62.5,['Action'],"['Dominique Vandenberg', 'Louis Mandylor', 'Carmen Argenziano', 'Manny Alva', 'Brad Ashten', 'Robb Zbacnik', 'Jeremiah B. McQueen', 'Geordie Robinson', 'Alina Andrei', 'Luke LaFontaine', 'Robert Dill', 'Marilyn Sanabria', 'Nihan Gur', 'Katherine Castillo', 'Sal Perales', 'Oscar Leiva', 'Gene Freeman', 'Essam Ferris']"
Sound of Freedom,80.83,"['Action', 'Drama']","['Jim Caviezel', 'Mira Sorvino', 'Bill Camp', 'Gerardo Taracena', 'Kurt Fuller', 'José Zúñiga', 'Eduardo Verástegui', 'Scott Haze', 'Yessica Borroto Perryman', 'Gary Basaraba', 'Manny Pérez', 'Gustavo Sánchez Parra', 'Javier Godino', 'James Quattrochi', 'Eduardo Gomez Monteverde', 'Gustavo Angarita Jr.', 'Ariel Sierra', 'Kris Avedisian', 'Alejandro Muela', 'Jaime Newball', 'Cristal Aparicio', 'Lucas Ávila', 'Samuel Livingston', 'Valerie Domínguez', 'Jairo Ordóñez']"
The Velveteen Rabbit,77.14,"['Animation', 'Family', 'Fantasy']","['Phoenix Laroche', 'Ellie Mejia', 'Samantha Colley', 'Leonard Buckley', 'Conor Hamill', 'Paul Sparkes', 'Tilly Vosburgh', 'Kiefer Moriarty', ""Elizabeth O'Toole"", 'Alex Lawther', 'Helena Bonham Carter', 'Paterson Joseph', 'Lois Chimimba', 'Clive Rowe', 'Sean Duggan', 'Jack Finn', 'Nathaniel Parker', 'Bethany Antonia', 'Declan Mills', 'Edward Baker-Duly', 'Nicola Coughlan']"
Zero Fucks Given,64.12,['Drama'],"['Adèle Exarchopoulos', 'Alexandre Perrier', 'Mara Taquin', 'Arthur Egloff', 'Tamara Al Saadi', 'David Martinez Pinon', 'Jean-Benoît Ugeux', 'Jonathan Sawdon', 'Gilles Alexandre Bussutil', 'Erwan Maillot', 'Agnieszka Kozaczewska', 'Marianna Masala', 'Blanche Vieillevoye', 'Veroline Vanderbeek', 'Bart Dezdari', 'Alessandro Duca', 'Dorica Salagor']"
Inferno,61.04,"['Action', 'Drama', 'Romance']","['Jean-Claude Van Damme', 'Pat Morita', 'Danny Trejo', 'Gabrielle Fitzpatrick', 'Larry Drake', 'Vincent Schiavelli', ""David 'Shark' Fralick"", 'Silas Weir Mitchell', 'Jonathan Avildsen', 'Jaime Pressly', 'Bill Erwin', 'Ford Rainey', 'Kevin West', 'Priscilla Pointer', 'Robert Symonds', 'Paul Koslo', 'Brett Harrelson', 'Jeff Kober', 'Gregory Scott Cummins', 'Neil Delama', 'Nikki Bokal', 'Lee Tergesen', 'Erik Audé', 'Natalie Barish', 'Philip Bruns', 'Ray Chang', 'Jim Hanks', 'Cynthia Palmer', 'Michael Papajohn', 'Ed Trotta']"
